date,day_of_week,month,week_of_year,is_weekend,month_period,weather_type,holiday,total_orders,total_units_sold,total_customer_groups,avg_group_size,school_children_groups,youngers_groups,younger_adults_groups,elders_groups,morning_groups,afternoon_groups,evening_groups,hot_beverage_units,cold_beverage_units,bakery_units,short_eats_units,food_meal_units,traditional_food_units,dairy_units,other_units
2025-10-20,Monday,10,43,No,middle,Rainy,No,153,573.5,208,1.36,12,76,78,42,46,96,66,110.5,32,21.0,178,16,146,19,51
2025-10-21,Tuesday,10,43,No,end,Rainy,No,162,608.5,220,1.36,14,79,83,44,48,101,71,126.0,29,33.5,198,25,151,5,41
2025-10-22,Wednesday,10,43,No,end,Cloudy,No,155,583.0,210,1.35,13,76,81,40,57,90,63,95.0,32,20.0,168,25,182,13,48
2025-10-23,Thursday,10,43,No,end,Rainy,No,137,513.0,185,1.35,11,66,70,38,41,85,59,117.0,19,23.0,166,23,119,4,42
2025-10-24,Friday,10,43,No,end,Cloudy,No,131,492.0,178,1.36,11,63,67,37,48,77,53,101.0,21,19.0,178,57,56,11,49
2025-10-25,Saturday,10,43,Yes,end,Hot,No,150,563.0,203,1.35,11,72,79,41,33,99,71,119.0,14,25.0,161,28,154,6,56
2025-10-26,Sunday,10,43,Yes,end,Hot,No,133,497.0,180,1.35,14,66,64,36,29,88,63,102.0,41,20.0,213,6,62,1,52
2025-10-27,Monday,10,44,No,end,Rainy,No,151,564.5,205,1.36,14,75,76,40,45,94,66,109.0,26,14.5,172,16,149,34,44
2025-10-28,Tuesday,10,44,No,end,Rainy,No,120,451.0,164,1.37,10,58,65,31,36,75,53,106.0,25,22.0,115,15,103,9,56
2025-10-29,Wednesday,10,44,No,end,Cloudy,No,124,466.0,169,1.36,12,60,63,34,45,73,51,102.0,28,29.0,149,20,89,7,42
2025-10-30,Thursday,10,44,No,end,Rainy,No,140,523.5,189,1.35,11,69,73,36,42,87,60,95.0,37,23.5,133,20,159,12,44
2025-10-31,Friday,10,44,No,end,Cloudy,No,55,206.5,75,1.36,4,27,31,13,20,32,23,33.0,9,2.5,54,15,73,0,20
2025-11-01,Saturday,11,44,Yes,start,Rainy,No,173,647.5,235,1.36,17,85,86,47,38,115,82,133.0,47,36.5,210,21,135,11,54
2025-11-02,Sunday,11,44,Yes,start,Rainy,No,162,609.0,220,1.36,15,82,81,42,35,108,77,120.5,41,16.5,211,23,130,15,52
2025-11-03,Monday,11,45,No,start,Cloudy,No,118,443.5,161,1.36,14,61,55,31,44,69,48,87.0,53,9.5,195,7,43,1,48
2025-11-04,Tuesday,11,45,No,start,Rainy,No,140,524.5,189,1.35,12,67,71,39,42,87,60,129.0,36,30.5,158,17,85,1,68
2025-11-05,Wednesday,11,45,No,start,Cloudy,No,79,297.5,108,1.37,8,40,40,20,29,47,32,60.0,15,10.5,93,21,72,0,26
2025-11-06,Thursday,11,45,No,start,Hot,No,119,447.0,161,1.35,10,59,60,32,63,50,48,103.0,19,39.0,151,17,68,9,41
2025-11-07,Friday,11,45,No,start,Hot,No,140,526.0,190,1.36,12,69,72,37,65,68,57,108.0,20,14.0,186,11,117,8,62
2025-11-08,Saturday,11,45,Yes,start,Rainy,No,295,1106.0,400,1.36,27,147,150,76,64,196,140,172.0,58,50.0,372,36,286,22,110
2025-11-09,Sunday,11,45,Yes,start,Rainy,No,269,1008.0,365,1.36,22,129,143,71,58,179,128,222.0,46,38.0,312,40,230,4,116
2025-11-10,Monday,11,46,No,start,Cloudy,No,224,841.0,305,1.36,19,105,114,67,82,131,92,94.0,22,37.0,307,3,184,15,179
2025-11-11,Tuesday,11,46,No,middle,Rainy,No,125,470.5,170,1.36,10,62,65,33,37,78,55,91.0,26,22.5,157,20,101,4,49
2025-11-12,Wednesday,11,46,No,middle,Cloudy,No,134,501.5,181,1.35,11,66,70,34,49,78,54,101.0,25,16.5,181,17,108,0,53
2025-11-13,Thursday,11,46,No,middle,Hot,No,138,517.0,187,1.36,12,66,70,39,73,58,56,109.0,21,26.0,186,14,106,1,54
2025-11-14,Friday,11,46,No,middle,Hot,No,131,491.0,177,1.35,11,64,68,34,60,64,53,101.0,23,15.0,179,17,102,5,49
2025-11-15,Saturday,11,46,Yes,middle,Rainy,No,116,435.0,158,1.36,10,55,58,35,25,78,55,115.0,8,35.0,162,12,59,2,42
2025-11-16,Sunday,11,46,Yes,middle,Rainy,No,127,474.5,173,1.36,14,63,61,35,28,85,60,98.5,37,19.0,205,5,55,1,54
2025-11-17,Monday,11,47,No,middle,Cloudy,No,28,106.0,38,1.36,2,15,14,7,10,16,12,0.0,2,0.0,31,0,45,1,27
2025-11-18,Tuesday,11,47,No,middle,Rainy,No,156,586.0,212,1.36,13,76,80,43,47,97,68,122.0,30,29.0,189,26,147,5,38
2025-11-19,Wednesday,11,47,No,middle,Cloudy,No,181,679.0,244,1.35,14,85,98,47,66,105,73,142.0,32,20.0,182,20,148,8,127
2025-11-20,Thursday,11,47,No,middle,Hot,No,146,546.5,197,1.35,11,71,78,37,77,61,59,107.0,37,22.5,134,24,160,14,48
2025-11-21,Friday,11,47,No,end,Hot,No,190,714.0,258,1.36,20,91,98,49,88,93,77,163.0,61,25.0,198,16,129,15,107
2025-11-22,Saturday,11,47,Yes,end,Rainy,No,186,696.0,252,1.35,16,88,99,49,40,124,88,153.5,30,24.5,227,20,116,9,116
2025-11-23,Sunday,11,47,Yes,end,Rainy,No,119,446.0,162,1.36,13,59,58,32,26,79,57,90.0,35,18.0,187,6,58,1,51
2025-11-24,Monday,11,48,No,end,Cloudy,No,34,128.0,47,1.38,4,16,17,10,13,20,14,87.0,23,1.0,8,0,0,9,0
2025-11-25,Tuesday,11,48,No,end,Rainy,No,167,625.0,225,1.35,14,81,86,44,49,104,72,146.0,28,31.0,191,26,158,5,40
2025-11-26,Wednesday,11,48,No,end,Cloudy,No,166,623.5,226,1.36,16,82,86,42,61,97,68,92.5,35,22.0,181,26,200,15,52
2025-11-27,Thursday,11,48,No,end,Hot,No,211,792.0,286,1.36,16,104,111,55,111,89,86,161.5,42,27.5,245,19,162,11,124
2025-11-28,Friday,11,48,No,end,Hot,No,66,248.5,90,1.36,5,32,37,16,31,32,27,40.5,11,5.0,60,16,87,8,21
2025-11-29,Saturday,11,48,Yes,end,Rainy,No,198,743.5,270,1.36,17,95,105,53,43,132,95,158.0,34,27.5,251,20,127,10,116
2025-11-30,Sunday,11,48,Yes,end,Rainy,No,136,509.0,186,1.37,16,70,64,36,30,91,65,96.0,42,18.0,228,6,63,10,46
2025-12-01,Monday,12,49,No,start,Rainy,No,164,615.5,222,1.35,14,80,83,45,49,102,71,121.0,41,21.5,191,15,162,2,62
2025-12-02,Tuesday,12,49,No,start,Cloudy,No,178,669.0,243,1.37,16,87,92,48,66,104,73,136.0,38,37.0,223,30,157,5,43
2025-12-03,Wednesday,12,49,No,start,Rainy,No,172,645.0,234,1.36,17,85,85,47,51,108,75,132.5,43,28.5,253,23,114,6,45
2025-12-04,Thursday,12,49,No,start,Cloudy,No,189,710.0,256,1.35,15,92,99,50,69,110,77,161.5,41,26.5,220,21,131,9,100
2025-12-05,Friday,12,49,No,start,Hot,No,201,753.5,273,1.36,19,99,101,54,106,85,82,144.5,42,37.0,254,23,157,12,84
2025-12-06,Saturday,12,49,Yes,start,Hot,No,201,755.5,273,1.36,18,96,105,54,44,134,95,141.0,36,27.5,269,21,138,8,115
2025-12-07,Sunday,12,49,Yes,start,Rainy,No,130,486.5,176,1.35,12,64,65,35,28,86,62,88.0,33,19.5,176,18,78,12,62
2025-12-08,Monday,12,50,No,start,Rainy,No,145,545.5,198,1.37,13,71,74,40,44,91,63,115.5,38,21.0,169,15,128,2,57
2025-12-09,Tuesday,12,50,No,start,Cloudy,No,177,663.5,241,1.36,18,88,87,48,65,104,72,136.0,58,18.5,235,21,126,5,64
2025-12-10,Wednesday,12,50,No,start,Rainy,No,158,592.0,215,1.36,16,80,76,43,47,99,69,113.0,42,31.0,232,23,94,6,51
2025-12-11,Thursday,12,50,No,middle,Cloudy,No,147,551.5,199,1.35,11,72,78,38,54,85,60,97.0,37,26.5,137,22,173,12,47
2025-12-12,Friday,12,50,No,middle,Hot,No,191,717.5,260,1.36,20,92,99,49,101,81,78,163.5,73,23.0,187,18,143,13,97
2025-12-13,Saturday,12,50,Yes,middle,Hot,No,206,771.0,278,1.35,17,98,108,55,45,136,97,143.0,33,32.0,267,21,133,12,130
2025-12-14,Sunday,12,50,Yes,middle,Rainy,No,127,476.0,173,1.36,13,65,60,35,28,85,60,97.0,34,20.0,211,5,53,3,53
2025-12-15,Monday,12,51,No,middle,Rainy,No,153,573.0,207,1.35,14,76,77,40,46,95,66,102.5,26,14.5,172,18,159,36,45
2025-12-16,Tuesday,12,51,No,middle,Cloudy,No,167,626.5,225,1.35,13,81,86,45,61,97,67,133.5,30,38.0,200,23,151,5,46
2025-12-17,Wednesday,12,51,No,middle,Rainy,No,157,587.5,211,1.34,12,78,82,39,46,97,68,99.5,36,18.0,151,25,191,15,52
2025-12-18,Thursday,12,51,No,middle,Cloudy,No,188,705.5,256,1.36,16,94,97,49,69,110,77,143.5,41,25.0,227,17,139,11,102
2025-12-19,Friday,12,51,No,middle,Hot,No,193,724.0,262,1.36,19,92,101,50,102,81,79,178.0,58,25.0,189,19,138,12,105
2025-12-20,Saturday,12,51,Yes,middle,Hot,No,178,667.0,242,1.36,17,88,93,44,39,118,85,130.0,31,12.0,230,24,119,21,100
2025-12-21,Sunday,12,51,Yes,end,Rainy,No,129,484.5,176,1.36,14,64,64,34,28,86,62,106.5,40,19.0,203,6,57,1,52
2025-12-22,Monday,12,52,No,end,Rainy,No,155,580.5,210,1.35,13,77,78,42,46,97,67,110.5,37,22.0,178,16,147,19,51
2025-12-23,Tuesday,12,52,No,end,Cloudy,No,176,659.5,239,1.36,14,87,90,48,64,103,72,125.0,35,36.5,205,24,182,5,47
2025-12-24,Wednesday,12,52,No,end,Rainy,No,156,586.0,212,1.36,13,76,82,41,47,97,68,98.0,27,23.0,167,24,187,15,45
2025-12-25,Thursday,12,52,No,end,Cloudy,Yes,214,802.0,290,1.36,17,104,110,59,78,125,87,154.5,40,41.5,238,36,196,20,76
2025-12-26,Friday,12,52,No,end,Hot,No,65,242.5,88,1.35,4,31,38,15,34,27,27,36.0,11,2.5,60,17,89,0,27
2025-12-27,Saturday,12,52,Yes,end,Hot,No,171,643.0,232,1.36,13,82,90,47,37,114,81,143.0,14,23.0,194,32,162,8,67
2025-12-28,Sunday,12,52,Yes,end,Rainy,No,137,515.0,187,1.36,14,68,68,37,30,92,65,114.0,43,24.0,203,14,64,1,52
2025-12-29,Monday,12,1,No,end,Rainy,No,164,615.0,223,1.36,15,81,82,45,49,103,71,115.5,47,24.5,196,15,146,2,69
2025-12-30,Tuesday,12,1,No,end,Cloudy,No,178,668.0,243,1.37,16,87,91,49,66,104,73,136.0,30,39.0,223,27,158,5,50
2025-12-31,Wednesday,12,1,No,end,Rainy,No,192,719.5,260,1.35,18,94,100,48,57,120,83,142.0,56,31.5,210,20,168,13,79
2026-01-01,Thursday,1,1,No,start,Hot,Yes,182,681.0,247,1.36,15,89,92,51,84,89,74,150.5,23,32.5,221,35,158,6,55
2026-01-02,Friday,1,1,No,start,Hot,No,204,764.5,277,1.36,19,100,104,54,94,100,83,167.5,37,41.0,261,24,139,16,79
2026-01-03,Saturday,1,1,Yes,start,Hot,No,191,717.5,259,1.36,18,95,100,46,41,127,91,128.5,38,11.0,249,26,138,21,106
2026-01-04,Sunday,1,1,Yes,start,Hot,No,188,705.0,255,1.36,18,94,94,49,41,125,89,134.5,47,18.5,247,28,161,13,56
2026-01-05,Monday,1,2,No,start,Cloudy,No,39,145.0,52,1.33,2,18,21,11,14,22,16,66.0,0,1.0,27,0,8,5,38
2026-01-06,Tuesday,1,2,No,start,Hot,No,131,492.0,178,1.36,10,63,71,34,70,55,53,105.0,29,24.0,129,18,114,10,63
2026-01-07,Wednesday,1,2,No,start,Cloudy,No,192,719.5,260,1.35,16,94,100,50,70,112,78,140.0,50,31.5,199,21,193,10,75
2026-01-08,Thursday,1,2,No,start,Hot,No,181,677.5,246,1.36,16,90,91,49,84,88,74,122.5,53,23.0,207,24,176,6,66
2026-01-09,Friday,1,2,No,start,Hot,No,190,712.5,258,1.36,18,94,97,49,88,93,77,153.5,41,32.0,244,24,124,16,78
2026-01-10,Saturday,1,2,Yes,start,Hot,No,157,590.0,213,1.36,12,75,84,42,34,104,75,120.5,17,28.5,146,32,173,8,65
2026-01-11,Sunday,1,2,Yes,middle,Hot,No,165,617.5,224,1.36,16,83,83,42,36,110,78,115.5,39,17.0,209,25,143,17,52
2026-01-12,Monday,1,3,No,middle,Cloudy,No,161,605.0,218,1.35,14,79,82,43,59,94,65,123.5,31,14.5,164,19,170,40,43
2026-01-13,Tuesday,1,3,No,middle,Hot,No,161,603.0,218,1.35,14,79,83,42,85,68,65,126.5,32,31.5,166,28,152,15,52
2026-01-14,Wednesday,1,3,No,middle,Cloudy,No,137,512.0,185,1.35,12,66,70,37,50,80,55,129.0,28,28.0,168,20,83,8,48
2026-01-15,Thursday,1,3,No,middle,Hot,No,154,576.5,207,1.34,12,75,80,40,70,75,62,101.0,40,27.5,156,24,162,12,54
2026-01-16,Friday,1,3,No,middle,Hot,No,61,228.0,82,1.34,4,29,35,14,28,29,25,36.5,11,3.5,59,19,77,0,22
2026-01-17,Saturday,1,3,Yes,middle,Hot,No,173,648.5,235,1.36,16,84,86,49,38,115,82,125.0,42,40.5,218,20,140,12,51
2026-01-18,Sunday,1,3,Yes,middle,Hot,No,227,851.0,310,1.37,23,111,110,66,50,152,108,142.0,55,78.0,309,27,124,25,91
2026-01-19,Monday,1,4,No,middle,Cloudy,No,176,659.0,239,1.36,17,83,88,51,64,103,72,91.5,38,24.5,252,11,114,9,119
2026-01-20,Tuesday,1,4,No,middle,Hot,No,165,620.5,224,1.36,14,82,85,43,87,70,67,124.5,39,32.0,176,28,150,15,56
2026-01-21,Wednesday,1,4,No,end,Cloudy,No,200,751.0,271,1.35,15,95,109,52,73,117,81,165.5,36,23.5,195,23,169,8,131
2026-01-22,Thursday,1,4,No,end,Hot,No,204,763.5,276,1.35,16,101,104,55,94,99,83,145.5,46,31.0,226,29,198,20,68
2026-01-23,Friday,1,4,No,end,Hot,No,190,713.5,258,1.36,19,91,99,49,88,93,77,158.5,54,30.0,203,17,135,12,104
2026-01-24,Saturday,1,4,Yes,end,Hot,No,170,637.5,232,1.36,18,82,86,46,37,114,81,112.5,45,37.0,222,21,124,14,62
2026-01-25,Sunday,1,4,Yes,end,Hot,No,160,598.5,216,1.35,14,79,82,41,34,106,76,118.5,32,19.0,206,24,132,14,53
2026-01-26,Monday,1,5,No,end,Cloudy,No,169,635.5,231,1.37,15,83,86,47,63,99,69,120.5,38,25.0,214,18,155,2,63
2026-01-27,Tuesday,1,5,No,end,Hot,No,202,757.5,275,1.36,20,100,100,55,107,85,83,161.0,74,22.5,248,20,154,5,73
2026-01-28,Wednesday,1,5,No,end,Cloudy,No,178,668.5,242,1.36,18,89,86,49,65,104,73,132.5,44,36.0,267,26,104,7,52
2026-01-29,Thursday,1,5,No,end,Hot,No,237,889.5,321,1.35,19,117,120,65,109,116,96,167.0,46,37.5,275,34,212,21,97
2026-01-30,Friday,1,5,No,end,Hot,No,174,652.0,236,1.36,18,84,86,48,80,85,71,142.0,48,33.0,228,23,117,5,56
2026-01-31,Saturday,1,5,Yes,end,Hot,No,173,648.0,234,1.35,14,81,92,47,37,115,82,144.5,16,25.5,186,30,174,7,65
2026-02-01,Sunday,2,5,Yes,start,Hot,No,185,695.0,252,1.36,20,93,92,47,40,124,88,128.5,56,21.5,234,31,154,14,56
2026-02-02,Monday,2,6,No,start,Cloudy,No,176,661.0,240,1.36,17,85,87,51,65,103,72,97.5,39,26.5,252,6,116,10,114
2026-02-03,Tuesday,2,6,No,start,Hot,No,202,758.5,275,1.36,20,101,100,54,94,99,82,159.5,77,18.0,260,24,139,7,74
2026-02-04,Wednesday,2,6,No,start,Hot,Yes,245,918.0,332,1.36,20,116,131,65,113,119,100,187.5,53,27.5,250,27,207,10,156
2026-02-05,Thursday,2,6,No,start,Hot,No,171,642.0,231,1.35,14,84,89,44,79,83,69,116.0,52,27.0,166,24,192,14,51
2026-02-06,Friday,2,6,No,start,Hot,No,190,711.5,258,1.36,18,91,99,50,101,80,77,148.5,50,25.0,199,18,143,14,114
2026-02-07,Saturday,2,6,Yes,start,Cloudy,No,173,650.0,235,1.36,16,85,91,43,38,115,82,108.0,30,9.0,227,26,131,17,102
2026-02-08,Sunday,2,6,Yes,start,Hot,No,144,540.0,196,1.36,16,73,68,39,31,96,69,100.5,43,23.5,246,7,65,1,54
2026-02-09,Monday,2,7,No,start,Cloudy,No,163,610.0,220,1.35,13,80,84,43,59,95,66,114.5,29,15.5,181,21,162,35,52
2026-02-10,Tuesday,2,7,No,start,Hot,No,137,513.0,185,1.35,10,66,73,36,63,67,55,119.0,37,21.0,125,18,120,10,63
2026-02-11,Wednesday,2,7,No,middle,Hot,No,181,679.5,245,1.35,14,91,95,45,83,88,74,109.0,36,21.5,192,26,221,16,58
2026-02-12,Thursday,2,7,No,middle,Hot,No,153,572.0,207,1.35,12,74,77,44,70,75,62,136.0,22,27.0,182,26,129,6,44
2026-02-13,Friday,2,7,No,middle,Hot,No,202,756.0,273,1.35,19,97,104,53,106,85,82,161.5,55,30.5,217,18,157,16,101
2026-02-14,Saturday,2,7,Yes,middle,Cloudy,No,201,754.0,272,1.35,18,98,103,53,44,133,95,145.5,33,30.5,268,20,122,11,124
2026-02-15,Sunday,2,7,Yes,middle,Hot,No,219,822.0,298,1.36,22,108,105,63,48,146,104,122.0,52,75.0,320,23,115,24,91
2026-02-16,Monday,2,8,No,middle,Cloudy,No,42,156.0,56,1.33,4,25,20,7,15,24,17,0.0,14,2.0,63,0,73,4,0
2026-02-17,Tuesday,2,8,No,middle,Hot,No,153,574.0,207,1.35,13,76,78,40,70,75,62,106.0,29,28.0,170,27,140,15,59
2026-02-18,Wednesday,2,8,No,middle,Hot,No,210,787.5,285,1.36,18,104,109,54,97,103,85,157.5,61,31.0,222,22,189,14,91
2026-02-19,Thursday,2,8,No,middle,Hot,No,217,814.5,294,1.35,18,106,112,58,100,106,88,164.0,43,29.5,238,29,210,16,85
2026-02-20,Friday,2,8,No,middle,Hot,No,175,654.5,237,1.35,17,85,86,49,92,74,71,141.0,52,32.5,234,23,110,4,58
2026-02-21,Saturday,2,8,Yes,end,Cloudy,No,164,614.0,221,1.35,12,78,87,44,36,108,77,133.0,14,26.0,168,29,175,6,63
2026-02-22,Sunday,2,8,Yes,end,Hot,No,171,642.5,232,1.36,16,86,85,45,37,114,81,114.0,44,20.5,225,26,146,15,52
2026-02-23,Monday,2,9,No,end,Cloudy,No,175,658.0,238,1.36,17,84,86,51,64,102,72,91.5,39,24.5,259,7,114,9,114
2026-02-24,Tuesday,2,9,No,end,Hot,No,130,486.0,175,1.35,11,61,68,35,60,63,52,121.0,32,24.0,121,15,106,11,56
2026-02-25,Wednesday,2,9,No,end,Hot,No,200,749.0,269,1.34,13,92,110,54,91,97,81,170.0,40,21.0,180,26,155,7,150
2026-02-26,Thursday,2,9,No,end,Hot,No,198,743.0,269,1.36,19,98,99,53,91,97,81,147.0,51,26.0,235,25,176,7,76
2026-02-27,Friday,2,9,No,end,Hot,No,158,593.5,214,1.35,14,76,81,43,84,66,64,125.0,25,22.5,214,64,70,16,57
2026-02-28,Saturday,2,9,Yes,end,Cloudy,No,196,734.5,266,1.36,17,98,102,49,43,130,93,130.5,33,11.0,261,28,152,21,98
2026-03-01,Sunday,3,9,Yes,start,Hot,No,152,569.5,206,1.36,14,75,77,40,33,101,72,108.0,38,20.5,195,24,102,14,68
2026-03-02,Monday,3,10,No,start,Cloudy,No,42,158.0,56,1.33,1,20,25,10,15,24,17,23.0,0,0.0,0,14,63,7,51
2026-03-03,Tuesday,3,10,No,start,Hot,No,152,570.5,206,1.36,13,71,81,41,80,64,62,135.0,34,30.5,138,20,127,11,75
2026-03-04,Wednesday,3,10,No,start,Hot,No,156,586.0,211,1.35,14,76,80,41,82,66,63,129.5,38,31.5,186,25,108,12,56
2026-03-05,Thursday,3,10,No,start,Hot,No,208,780.0,283,1.36,20,104,103,56,110,88,85,143.5,52,28.5,272,26,164,9,85
2026-03-06,Friday,3,10,No,start,Hot,No,196,736.5,267,1.36,20,96,99,52,91,96,80,167.0,47,38.5,243,22,138,14,67
2026-03-07,Saturday,3,10,Yes,start,Rainy,No,154,577.0,207,1.34,10,73,82,42,33,101,73,125.0,13,28.0,155,30,158,7,61
2026-03-08,Sunday,3,10,Yes,start,Hot,No,231,865.0,315,1.36,24,114,111,66,51,154,110,131.0,58,72.0,327,26,116,22,113
2026-03-09,Monday,3,11,No,start,Cloudy,No,37,140.0,51,1.38,4,19,18,10,14,22,15,1.0,0,2.0,67,0,69,1,0
2026-03-10,Tuesday,3,11,No,start,Hot,No,175,655.5,237,1.35,14,86,91,46,92,74,71,133.5,32,29.0,190,28,169,17,57
2026-03-11,Wednesday,3,11,No,middle,Hot,No,180,675.0,244,1.36,16,90,92,46,95,76,73,105.0,41,27.0,198,29,201,17,57
2026-03-12,Thursday,3,11,No,middle,Hot,No,224,841.0,304,1.36,18,109,116,61,119,94,91,164.0,45,35.0,242,30,219,16,90
2026-03-13,Friday,3,11,No,middle,Hot,No,152,568.5,205,1.35,13,72,77,43,70,74,61,120.0,24,21.5,209,67,62,14,51
2026-03-14,Saturday,3,11,Yes,middle,Rainy,No,154,576.0,208,1.35,12,74,81,41,33,102,73,139.0,15,26.0,160,28,147,8,53
2026-03-15,Sunday,3,11,Yes,middle,Hot,No,219,819.5,298,1.36,23,110,104,61,48,146,104,136.5,62,65.0,303,23,115,26,89
2026-03-16,Monday,3,12,No,middle,Cloudy,No,33,123.0,44,1.33,2,16,16,10,12,19,13,0.0,0,1.0,72,0,35,3,12
2026-03-17,Tuesday,3,12,No,middle,Hot,No,169,635.0,230,1.36,15,84,87,44,90,71,69,111.5,36,31.5,189,28,167,15,57
2026-03-18,Wednesday,3,12,No,middle,Hot,No,147,550.5,199,1.35,14,71,75,39,77,62,60,118.0,32,33.5,186,23,101,9,48
2026-03-19,Thursday,3,12,No,middle,Hot,No,205,770.5,278,1.36,17,100,107,54,109,86,83,160.5,51,26.0,233,21,162,11,106
2026-03-20,Friday,3,12,No,middle,Hot,No,203,763.0,276,1.36,19,96,108,53,94,99,83,177.5,62,29.5,197,18,163,14,102
2026-03-21,Saturday,3,12,Yes,end,Rainy,No,191,717.0,258,1.35,16,91,99,52,41,127,90,143.5,29,30.5,242,18,134,9,111
2026-03-22,Sunday,3,12,Yes,end,Hot,No,170,639.0,231,1.36,16,86,85,44,37,113,81,121.5,44,19.5,218,25,141,18,52
2026-03-23,Monday,3,13,No,end,Cloudy,No,43,163.0,58,1.35,1,19,25,13,16,25,17,101.0,2,0.0,17,0,5,0,38
2026-03-24,Tuesday,3,13,No,end,Hot,No,168,629.5,228,1.36,15,84,86,43,89,71,68,120.5,32,34.0,181,30,155,16,61
2026-03-25,Wednesday,3,13,No,end,Hot,No,148,554.5,201,1.36,14,71,76,40,79,62,60,123.0,33,36.5,169,23,104,9,57
2026-03-26,Thursday,3,13,No,end,Hot,No,170,638.5,231,1.36,15,84,85,47,90,72,69,149.0,27,27.5,210,28,132,6,59
2026-03-27,Friday,3,13,No,end,Hot,No,178,669.0,243,1.37,17,85,90,51,83,87,73,153.0,54,37.0,216,26,117,4,62
2026-03-28,Saturday,3,13,Yes,end,Rainy,No,169,635.0,228,1.35,12,79,91,46,36,112,80,160.5,15,27.5,175,29,154,7,67
2026-03-29,Sunday,3,13,Yes,end,Hot,No,163,612.5,222,1.36,19,82,77,44,35,109,78,110.5,49,27.0,280,9,72,1,64
2026-03-30,Monday,3,14,No,end,Cloudy,No,175,658.0,239,1.37,17,83,88,51,64,103,72,91.5,38,24.5,252,14,114,9,115
2026-03-31,Tuesday,3,14,No,end,Hot,No,196,734.5,267,1.36,18,95,101,53,104,83,80,154.0,35,41.5,240,37,171,7,49
2026-04-01,Wednesday,4,14,No,start,Rainy,No,187,700.0,254,1.36,18,94,91,51,56,117,81,137.5,49,35.5,269,29,118,6,56
2026-04-02,Thursday,4,14,No,start,Cloudy,No,200,750.5,271,1.35,17,98,104,52,73,117,81,162.5,43,28.0,240,19,150,10,98
2026-04-03,Friday,4,14,No,start,Rainy,No,145,543.0,196,1.35,12,69,75,40,43,90,63,120.5,20,20.5,190,62,59,12,59
