date,day_of_week,month,week_of_year,is_weekend,weather_type,holiday,month_period,Beedi,Bite Packet,Boil Egg,Bread,Breakfast,Bulath vita,Buns,Chicken Curry,Cigarette,Coffee,Cream Bun,Dal Curry,Egg Bun,Egg Rotti,Fish Bun,Flat Bread,Halapa,Hoppers,Jam bun,Kahata,Lavariya,Milk Packet,Milk Plain Tea,Milk Toffee,Milo Tea,Pancake,Plain Tea,Roast bread,Rock Cake,Rolls,Roti,Sesame roll,Soft drinks,Soft drinks Cup,Spanchi,String Hoppers,Tea,Ulundu Wade,Vegitable Roti,Wade,Watter Bottle,Yogurt
2025-10-22,Wednesday,10,43,No,Cloudy,No,end,13,0,0,2.0,13.0,6.0,0,3.0,29.0,0,0,9.0,0,39.0,12,1,7,18.0,2,24.0,0,11,0,0,0,0,54.0,15.0,0,70.0,16.0,1,27.0,0,0,140.0,17.0,29.0,18.0,0,5.0,2
2025-10-23,Thursday,10,43,No,Rainy,No,end,2,0,0,2.0,10.0,12.0,0,5.0,27.0,2,2,8.0,0,30.0,18,3,4,8.0,1,28.0,0,4,0,0,0,0,72.0,15.0,0,37.0,4.0,3,18.0,0,1,100.0,15.0,64.0,17.0,0,1.0,0
2025-10-24,Friday,10,43,No,Cloudy,No,end,3,0,0,2.0,10.0,16.0,0,3.0,26.0,2,4,44.0,0,39.0,13,0,11,7.0,2,25.0,4,9,0,2,5,0,55.0,11.0,0,57.0,9.0,5,20.0,0,4,20.0,14.0,58.0,11.0,0,1.0,0
2025-10-25,Saturday,10,43,Yes,Hot,No,end,0,0,0,2.0,15.0,23.0,0,6.0,32.0,0,2,7.0,0,45.0,12,1,9,31.0,0,20.0,5,5,0,0,4,0,78.0,20.0,0,48.0,9.0,0,11.0,1,1,100.0,17.0,44.0,12.0,0,2.0,1
2025-10-26,Sunday,10,43,Yes,Hot,No,end,10,0,0,2.0,0.0,4.0,0,2.0,38.0,0,0,4.0,0,53.0,10,2,12,23.0,0,15.0,0,0,0,0,4,0,67.0,16.0,0,79.0,7.0,0,30.0,2,0,20.0,16.0,59.0,12.0,0,9.0,1
2025-10-27,Monday,10,44,No,Rainy,No,end,0,0,0,0.5,9.0,19.0,0,0.0,24.0,2,0,7.0,0,42.0,12,0,6,11.0,1,26.0,4,9,0,25,5,0,61.0,13.0,0,42.0,8.0,0,20.0,0,1,120.0,15.0,63.0,13.0,0,6.0,0
2025-10-28,Tuesday,10,44,No,Rainy,No,end,9,0,0,1.0,8.5,16.0,0,0.0,31.0,2,1,6.0,0,28.0,9,0,1,22.0,3,26.0,8,7,0,2,0,1,66.0,17.0,0,30.0,11.0,0,21.0,0,0,60.0,12.0,41.0,7.0,0,4.0,0
2025-10-29,Wednesday,10,44,No,Cloudy,No,end,2,0,0,3.0,10.0,11.0,0,2.0,29.0,0,3,8.0,0,45.0,15,3,6,14.0,1,19.0,3,3,0,4,0,0,67.0,19.0,0,44.0,6.0,0,20.0,2,0,60.0,16.0,30.0,15.0,0,6.0,0
2025-10-30,Thursday,10,44,No,Rainy,No,end,10,0,1,1.5,8.0,12.0,0,4.0,21.0,0,1,8.0,0,36.0,4,0,7,23.0,2,12.0,3,9,0,2,0,1,63.0,19.0,0,41.0,5.0,0,24.0,2,0,120.0,20.0,41.0,11.0,0,11.0,1
2025-10-31,Friday,10,44,No,Cloudy,No,end,4,0,0,2.5,8.0,8.0,0,1.0,8.0,1,0,6.0,0,18.0,2,0,3,24.0,0,6.0,3,0,0,0,0,0,21.0,0.0,0,16.0,3.0,0,8.0,0,0,40.0,5.0,12.0,6.0,0,1.0,0
2025-11-01,Saturday,11,44,Yes,Rainy,No,start,9,0,3,1.5,10.0,16.0,1,3.0,25.0,0,0,8.0,0,50.0,13,6,7,23.0,3,36.0,5,8,0,3,0,2,70.0,25.0,0,62.0,9.0,3,39.0,4,1,86.0,27.0,65.0,20.0,0,4.0,0
2025-11-02,Sunday,11,44,Yes,Rainy,No,start,2,0,1,1.5,12.5,18.0,0,3.0,29.0,0,2,7.0,0,54.0,13,1,1,31.0,0,19.0,12,10,0,5,0,0,75.5,12.0,0,69.0,13.0,2,35.0,2,2,71.0,26.0,56.0,19.0,0,4.0,0
2025-11-03,Monday,11,45,No,Cloudy,No,start,0,0,0,0.0,0.0,0.0,0,0.0,19.0,0,1,0.0,0,0.0,12,0,0,0.0,0,13.0,3,5,0,0,0,0,0.0,0.0,0,0.0,7.0,0,28.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
2025-11-04,Tuesday,11,45,No,Rainy,No,start,7,0,0,1.5,16.5,14.0,1,5.0,43.0,0,1,7.0,0,42.0,15,3,7,40.0,2,22.0,3,13,0,1,0,2,66.5,17.0,0,45.0,3.0,0,27.0,1,0,82.0,26.0,50.0,13.0,1,0.0,1
2025-11-05,Wednesday,11,45,No,Cloudy,No,start,3,0,1,3.5,13.5,13.0,0,6.0,24.0,0,0,8.0,0,59.0,17,9,3,28.0,1,16.0,4,6,0,0,0,1,87.5,22.0,0,61.0,5.0,4,47.0,1,1,66.0,27.0,96.0,19.0,0,5.0,1
2025-11-06,Thursday,11,45,No,Hot,No,start,10,0,1,1.5,11.0,21.0,2,6.0,34.0,0,2,5.0,0,54.0,14,2,5,36.0,2,19.0,2,5,0,1,0,1,66.5,12.0,1,61.0,13.0,3,35.0,4,0,102.0,40.0,77.0,19.0,0,4.0,1
2025-11-07,Friday,11,45,No,Hot,No,start,3,0,0,2.5,9.5,9.0,0,1.0,6.0,1,0,7.0,0,21.0,2,1,3,24.0,1,6.0,3,0,0,0,0,0,24.5,0.0,0,18.0,3.0,0,8.0,0,0,45.0,5.0,12.0,7.0,0,1.0,1
2025-11-08,Saturday,11,45,Yes,Rainy,No,start,20,0,2,2.5,10.5,33.0,0,1.0,64.0,1,1,7.0,0,47.0,22,0,18,42.0,1,27.0,3,10,0,0,2,2,99.0,19.0,0,64.0,17.0,2,25.0,2,2,35.0,24.0,63.0,20.0,0,3.0,0
2025-11-09,Sunday,11,45,Yes,Rainy,No,start,4,0,1,3.5,10.5,19.0,6,0.0,67.0,0,8,9.0,0,66.0,17,0,9,33.0,4,19.0,4,22,0,1,2,2,57.5,39.0,0,83.0,6.0,0,41.0,3,0,40.0,40.0,79.0,23.0,0,9.0,0
2025-11-10,Monday,11,46,No,Cloudy,No,start,3,0,1,1.0,9.5,20.0,1,2.0,30.0,0,6,4.0,0,43.0,12,2,5,35.0,1,22.0,3,1,1,1,8,0,54.0,16.0,0,42.0,9.0,0,36.0,0,1,85.0,19.0,60.0,20.0,0,5.0,1
2025-11-11,Tuesday,11,46,No,Rainy,No,middle,7,0,0,1.0,7.0,17.0,0,0.0,29.0,2,1,6.0,0,22.0,9,0,1,20.0,3,26.0,7,6,0,2,0,1,68.0,18.0,0,29.0,12.0,0,21.0,0,1,50.0,14.0,44.0,7.0,0,4.0,0
2025-11-12,Wednesday,11,46,No,Cloudy,No,middle,22,0,0,1.5,11.0,16.0,0,3.0,41.0,0,0,6.0,5,59.0,17,3,6,29.0,3,27.0,4,9,0,0,0,0,95.5,20.0,0,48.0,21.0,0,35.0,1,1,107.0,17.0,52.0,27.0,0,9.0,1
2025-11-13,Thursday,11,46,No,Hot,No,middle,9,0,1,1.5,8.5,13.0,0,4.0,23.0,0,1,9.0,0,40.0,4,1,8,23.0,2,13.0,3,11,0,2,0,1,74.0,21.0,0,48.0,6.0,0,28.0,3,0,146.0,19.0,36.0,11.0,0,12.0,1
2025-11-14,Friday,11,46,No,Hot,No,middle,21,0,1,1.5,9.5,19.0,1,0.0,53.0,0,0,5.0,0,45.0,6,0,7,46.0,0,30.0,4,9,0,3,9,0,69.5,22.0,0,56.0,11.0,2,51.0,6,1,80.0,18.0,34.0,26.0,0,7.0,1
2025-11-15,Saturday,11,46,Yes,Rainy,No,middle,14,0,1,1.0,15.0,21.0,0,2.0,44.0,1,2,5.0,0,61.0,8,0,3,40.0,1,13.0,4,16,0,0,0,1,80.5,7.0,0,75.0,17.0,0,22.0,2,5,51.0,26.0,41.0,19.0,0,3.0,2
2025-11-16,Sunday,11,46,Yes,Rainy,No,middle,10,0,0,2.0,0.0,4.0,0,1.0,40.0,1,0,4.0,0,42.0,10,2,10,22.0,0,17.0,0,0,0,0,4,0,60.5,15.0,0,82.0,6.0,1,25.0,2,0,16.0,16.0,60.0,11.0,0,10.0,1
2025-11-17,Monday,11,47,No,Cloudy,No,middle,0,0,0,0.0,0.0,0.0,0,0.0,26.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,31.0,0.0,0,0.0,0,1,45.0,0.0,0.0,0.0,0,2.0,1
2025-11-18,Tuesday,11,47,No,Rainy,No,middle,3,0,0,3.0,11.5,9.0,0,5.0,26.0,1,3,9.0,0,58.0,13,1,11,12.0,4,27.0,0,2,0,2,0,0,80.0,18.0,0,34.0,7.0,0,28.0,0,0,117.0,14.0,60.0,24.0,0,2.0,1
2025-11-19,Wednesday,11,47,No,Cloudy,No,middle,3,0,0,4.0,12.5,52.0,2,0.0,72.0,0,1,7.0,5,57.0,8,0,5,55.0,0,1.0,3,6,12,1,0,1,111.0,13.0,0,49.0,15.0,8,21.0,5,0,61.0,18.0,38.0,24.0,1,6.0,1
2025-11-20,Thursday,11,47,No,Hot,No,middle,12,0,1,1.5,9.5,11.0,1,5.0,24.0,0,1,9.0,0,45.0,4,0,8,27.0,2,14.0,4,11,0,2,0,1,74.0,17.0,0,37.0,5.0,0,23.0,2,0,115.0,19.0,39.0,9.0,0,12.0,1
2025-11-21,Friday,11,47,No,Hot,No,end,22,0,1,1.0,12.0,22.0,1,0.0,61.0,1,0,4.0,0,53.0,6,1,9,37.0,0,28.0,4,11,0,4,12,0,104.0,22.0,0,72.0,10.0,2,49.0,7,1,67.0,18.0,39.0,28.0,0,5.0,0
2025-11-22,Saturday,11,47,Yes,Rainy,No,end,22,0,2,2.5,11.0,32.0,0,1.0,58.0,0,1,8.0,0,54.0,23,0,16,41.0,1,19.0,3,9,0,0,2,2,104.5,20.0,0,62.0,19.0,2,25.0,2,2,33.0,28.0,71.0,17.0,0,3.0,0
2025-11-23,Sunday,11,47,Yes,Rainy,No,end,10,0,0,2.0,0.0,4.0,0,2.0,37.0,0,0,4.0,0,49.0,9,2,12,21.0,0,14.0,0,0,0,0,4,0,54.0,14.0,0,67.0,7.0,0,26.0,2,0,18.0,18.0,51.0,11.0,0,7.0,1
2025-11-24,Monday,11,48,No,Cloudy,No,end,0,0,0,1.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,8,0,0,0.0,0,20.0,0,7,0,2,0,0,57.0,0.0,0,0.0,0.0,0,23.0,0,0,0.0,10.0,0.0,0.0,0,0.0,0
2025-11-25,Tuesday,11,48,No,Rainy,No,end,3,0,0,3.0,12.0,9.0,0,4.0,28.0,0,3,10.0,1,63.0,16,1,11,13.0,5,24.0,2,2,0,2,2,0,105.0,19.0,0,36.0,7.0,1,26.0,0,0,124.0,15.0,55.0,20.0,0,2.0,1
2025-11-26,Wednesday,11,48,No,Cloudy,No,end,15,0,0,2.0,14.0,6.0,1,3.0,31.0,0,0,9.0,0,44.0,14,1,8,20.0,2,24.0,0,13,0,0,0,0,50.5,16.0,0,72.0,16.0,1,30.0,0,0,155.0,18.0,31.0,20.0,0,5.0,2
2025-11-27,Thursday,11,48,No,Hot,No,end,18,1,0,6.5,13.0,27.0,0,2.0,78.0,1,0,4.0,0,70.0,21,1,8,66.0,1,30.0,3,11,0,0,0,0,109.5,19.0,0,48.0,16.0,3,34.0,3,0,66.0,21.0,91.0,15.0,0,5.0,0
2025-11-28,Friday,11,48,No,Hot,No,end,4,0,0,3.0,8.0,9.0,0,1.0,8.0,1,0,7.0,0,22.0,2,2,3,29.0,0,7.0,3,8,0,0,0,0,26.5,0.0,0,16.0,3.0,0,9.0,1,0,49.0,6.0,12.0,8.0,0,1.0,0
2025-11-29,Saturday,11,48,Yes,Rainy,No,end,22,0,2,2.5,10.5,31.0,0,1.0,59.0,0,1,8.0,0,61.0,27,0,19,43.0,1,28.0,3,10,0,0,2,2,104.0,23.0,0,71.0,19.0,2,29.0,2,2,39.0,24.0,74.0,18.0,0,3.0,0
2025-11-30,Sunday,11,48,Yes,Rainy,No,end,11,0,0,2.0,0.0,4.0,0,2.0,31.0,0,0,4.0,0,53.0,9,2,13,24.0,0,15.0,0,7,0,2,5,0,61.0,14.0,0,90.0,7.0,0,31.0,2,0,19.0,15.0,64.0,12.0,0,9.0,1
2025-12-01,Monday,12,49,No,Rainy,No,start,3,0,1,0.5,10.0,20.0,1,2.0,37.0,0,5,3.0,0,40.0,11,2,7,36.0,0,21.0,3,1,0,0,6,0,75.0,13.0,0,52.0,11.0,0,36.0,0,1,105.0,19.0,63.0,25.0,0,5.0,1
2025-12-02,Tuesday,12,49,No,Cloudy,No,start,3,0,0,4.0,11.5,9.0,1,5.0,31.0,0,5,13.0,0,72.0,17,1,11,14.0,6,27.0,0,2,0,2,0,0,95.0,20.0,0,48.0,7.0,0,34.0,1,0,125.0,14.0,62.0,24.0,0,3.0,1
2025-12-03,Wednesday,12,49,No,Rainy,No,start,4,0,1,3.5,12.0,16.0,0,4.0,24.0,0,0,7.0,0,48.0,20,8,3,26.0,1,17.0,4,5,0,0,1,0,86.5,16.0,0,78.0,6.0,4,37.0,1,0,71.0,28.0,84.0,23.0,0,5.0,1
2025-12-04,Thursday,12,49,No,Cloudy,No,start,19,1,0,6.5,12.5,22.0,0,3.0,58.0,0,1,5.0,0,52.0,25,0,7,53.0,1,29.0,3,9,0,0,0,0,111.5,18.0,0,46.0,15.0,3,35.0,2,0,50.0,21.0,83.0,14.0,0,4.0,0
2025-12-05,Friday,12,49,No,Hot,No,start,9,0,1,2.0,16.0,17.0,0,1.0,50.0,1,2,6.0,0,45.0,19,4,7,37.0,3,22.0,14,12,0,0,7,0,89.5,26.0,0,60.0,26.0,0,41.0,0,7,73.0,25.0,98.0,32.0,0,1.0,0
2025-12-06,Saturday,12,49,Yes,Hot,No,start,23,0,2,2.5,10.5,34.0,0,1.0,54.0,0,1,9.0,0,64.0,25,1,19,46.0,1,26.0,3,8,0,0,3,2,91.0,22.0,0,71.0,21.0,2,31.0,2,2,45.0,21.0,88.0,21.0,0,3.0,0
2025-12-07,Sunday,12,49,Yes,Rainy,No,start,3,0,1,1.5,13.0,24.0,0,0.0,34.0,1,0,5.0,1,37.0,4,1,2,12.0,0,12.0,0,10,0,1,2,0,56.0,17.0,0,59.0,11.0,0,30.0,0,0,53.0,17.0,59.0,16.0,0,3.0,1
2025-12-08,Monday,12,50,No,Rainy,No,start,3,0,1,1.0,8.5,19.0,1,2.0,33.0,0,5,4.0,0,44.0,12,2,7,33.0,0,23.0,3,1,0,0,7,1,67.5,12.0,0,40.0,10.0,0,33.0,0,1,74.0,18.0,52.0,21.0,0,5.0,1
2025-12-09,Tuesday,12,50,No,Cloudy,No,start,6,0,0,1.5,12.5,5.0,3,2.0,51.0,0,3,6.0,0,57.0,5,0,5,32.0,1,33.0,0,2,0,1,0,0,74.0,10.0,0,86.0,3.0,1,43.0,7,2,85.0,29.0,66.0,21.0,0,8.0,2
2025-12-10,Wednesday,12,50,No,Rainy,No,start,3,0,1,3.0,11.5,16.0,0,5.0,31.0,1,0,6.0,0,45.0,17,8,3,25.0,1,14.0,4,5,0,0,0,0,72.0,19.0,0,65.0,5.0,4,37.0,1,0,53.0,26.0,88.0,17.0,0,4.0,1
2025-12-11,Thursday,12,50,No,Cloudy,No,middle,10,0,1,1.5,8.5,12.0,0,4.0,24.0,1,1,9.0,0,34.0,4,0,6,28.0,2,13.0,3,9,0,2,0,1,63.0,21.0,1,47.0,5.0,0,24.0,2,0,130.0,20.0,39.0,13.0,0,11.0,1
2025-12-12,Friday,12,50,No,Hot,No,middle,19,0,1,1.0,11.5,20.0,1,1.0,56.0,0,1,5.0,0,47.0,5,0,10,48.0,0,31.0,5,10,0,3,10,0,100.5,20.0,0,74.0,10.0,2,61.0,7,1,68.0,22.0,33.0,28.0,0,5.0,0
2025-12-13,Saturday,12,50,Yes,Hot,No,middle,24,0,2,3.0,11.0,39.0,0,1.0,63.0,0,1,9.0,0,61.0,20,0,16,50.0,1,20.0,3,12,0,0,2,2,93.0,27.0,0,77.0,19.0,2,28.0,2,2,41.0,28.0,89.0,20.0,0,3.0,0
2025-12-14,Sunday,12,50,Yes,Rainy,No,middle,10,0,0,2.0,0.0,4.0,0,2.0,39.0,0,0,3.0,0,52.0,12,2,11,20.0,0,17.0,0,0,0,2,4,0,58.0,16.0,0,71.0,6.0,0,24.0,2,0,16.0,18.0,64.0,12.0,0,8.0,1
2025-12-15,Monday,12,51,No,Rainy,No,middle,0,0,0,0.5,9.0,17.0,0,2.0,27.0,2,0,7.0,0,39.0,10,0,6,10.0,1,26.0,4,8,0,28,5,1,55.5,13.0,0,44.0,8.0,0,21.0,0,1,130.0,14.0,66.0,13.0,0,5.0,0
2025-12-16,Tuesday,12,51,No,Cloudy,No,middle,3,0,1,4.0,10.5,8.0,0,4.0,34.0,0,4,8.0,0,59.0,16,1,12,13.0,5,30.0,0,2,0,2,0,0,89.5,24.0,0,39.0,7.0,0,28.0,0,0,119.0,14.0,55.0,31.0,0,2.0,1
2025-12-17,Wednesday,12,51,No,Rainy,No,middle,12,0,0,2.0,14.0,6.0,0,3.0,34.0,0,0,8.0,0,37.0,11,1,7,16.0,2,25.0,0,13,0,0,0,0,56.5,13.0,0,61.0,17.0,1,30.0,0,0,150.0,18.0,26.0,16.0,0,6.0,2
2025-12-18,Thursday,12,51,No,Cloudy,No,middle,13,1,0,5.0,9.5,26.0,0,2.0,62.0,0,0,5.0,0,67.0,18,0,5,56.0,1,26.0,3,10,0,0,0,0,95.5,19.0,0,42.0,14.0,3,35.0,2,0,58.0,22.0,85.0,15.0,0,4.0,1
2025-12-19,Friday,12,51,No,Hot,No,middle,22,0,1,1.0,13.5,21.0,1,0.0,60.0,0,0,5.0,0,54.0,7,1,9,46.0,0,30.0,5,9,0,3,10,0,112.0,22.0,0,69.0,9.0,2,44.0,8,1,67.0,26.0,36.0,23.0,0,6.0,0
2025-12-20,Saturday,12,51,Yes,Hot,No,middle,15,0,1,1.0,17.0,28.0,0,2.0,52.0,1,1,5.0,0,80.0,10,0,3,40.0,1,16.0,4,19,0,0,0,1,85.0,9.0,0,63.0,21.0,1,26.0,2,4,49.0,28.0,56.0,21.0,0,3.0,2
2025-12-21,Sunday,12,51,Yes,Rainy,No,end,11,0,1,2.0,0.0,3.0,0,2.0,37.0,0,0,4.0,0,54.0,8,2,10,22.0,2,16.0,0,0,0,0,4,0,68.5,13.0,0,67.0,7.0,0,30.0,2,0,18.0,18.0,62.0,12.0,0,8.0,1
2025-12-22,Monday,12,52,No,Rainy,No,end,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,1,0.0,0,0,0,0,0,0,0.0,0.0,1,0.0,10.0,0,31.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
2025-12-23,Tuesday,12,52,No,Cloudy,No,end,3,0,0,3.5,10.0,10.0,0,4.0,34.0,0,5,10.0,0,53.0,16,1,10,15.0,6,28.0,3,2,0,2,0,0,84.0,21.0,0,43.0,8.0,0,33.0,0,0,146.0,13.0,66.0,27.0,0,2.0,1
2025-12-24,Wednesday,12,52,No,Rainy,No,end,11,0,0,2.0,10.5,6.0,1,3.0,28.0,1,2,10.0,0,34.0,12,1,6,16.0,2,25.0,3,11,0,2,0,0,56.0,15.0,0,70.0,19.0,1,23.0,0,0,142.0,16.0,32.0,19.0,0,4.0,2
2025-12-25,Thursday,12,52,No,Cloudy,Yes,end,12,1,1,2.5,20.5,25.0,0,4.0,37.0,3,0,11.0,0,55.0,9,5,7,14.0,1,38.0,0,16,0,2,2,0,89.5,33.0,0,48.0,16.0,0,34.0,0,0,159.0,22.0,94.0,32.0,0,6.0,2
2025-12-26,Friday,12,52,No,Hot,No,end,5,0,1,2.5,9.0,10.0,0,1.0,10.0,1,0,7.0,0,21.0,2,0,3,28.0,0,7.0,4,0,0,0,0,0,22.0,0.0,0,17.0,4.0,0,10.0,0,1,50.0,6.0,14.0,6.0,0,1.0,0
2025-12-27,Saturday,12,52,Yes,Hot,No,end,5,0,0,2.0,17.0,26.0,0,7.0,35.0,0,2,8.0,0,49.0,16,1,10,42.0,0,21.0,5,7,0,0,5,0,98.0,18.0,0,51.0,9.0,0,11.0,1,1,96.0,19.0,64.0,14.0,0,2.0,1
2025-12-28,Sunday,12,52,Yes,Rainy,No,end,9,0,0,2.0,8.0,4.0,0,2.0,38.0,1,1,4.0,0,46.0,9,2,13,23.0,1,16.0,0,0,0,0,4,0,79.0,18.0,0,70.0,6.0,0,31.0,2,1,22.0,14.0,65.0,13.0,0,10.0,1
